"Animal","Age","Time of death","Death cause","Total population"
"HAWK","5","1","HUNGER","6058"
"HAWK","4","1","HUNGER","6057"
"HAWK","7","1","HUNGER","6056"
"SQUIRREL","2","1","EATEN","6055"
"SQUIRREL","2","1","EATEN","6054"
"HAWK","1","1","HUNGER","6053"
"HAWK","5","1","HUNGER","6052"
"SQUIRREL","1","1","HUNGER","6051"
"HAWK","4","1","HUNGER","6050"
"SQUIRREL","1","1","EATEN","6049"
"SQUIRREL","0","1","EATEN","6048"
"SQUIRREL","2","1","HUNGER","6047"
"HAWK","5","1","HUNGER","6046"
"SQUIRREL","0","1","EATEN","6045"
"SQUIRREL","2","1","HUNGER","6044"
"SQUIRREL","1","1","HUNGER","6043"
"SQUIRREL","0","1","EATEN","6042"
"HAWK","0","1","HUNGER","6041"
"SQUIRREL","0","1","HUNGER","6040"
"HAWK","9","1","HUNGER","6039"
"HAWK","4","1","HUNGER","6038"
"SQUIRREL","0","1","EATEN","6037"
"SQUIRREL","1","1","HUNGER","6036"
"SQUIRREL","0","1","HUNGER","6035"
"HAWK","10","1","HUNGER","6034"
"SQUIRREL","0","1","EATEN","6033"
"SQUIRREL","2","1","HUNGER","6032"
"HAWK","7","1","HUNGER","6031"
"SQUIRREL","1","1","HUNGER","6030"
"SQUIRREL","2","1","HUNGER","6029"
"SQUIRREL","2","1","HUNGER","6028"
"HAWK","4","1","HUNGER","6027"
"HAWK","6","1","HUNGER","6026"
"HAWK","10","1","HUNGER","6025"
"SQUIRREL","2","1","EATEN","6024"
"HAWK","7","1","HUNGER","6023"
"SQUIRREL","0","1","EATEN","6022"
"HAWK","1","1","HUNGER","6021"
"HAWK","7","1","HUNGER","6020"
"HAWK","6","1","HUNGER","6019"
"HAWK","3","1","HUNGER","6018"
"HAWK","7","1","HUNGER","6017"
"SQUIRREL","0","1","HUNGER","6016"
"SQUIRREL","0","1","HUNGER","6015"
"SQUIRREL","0","1","HUNGER","6014"
"HAWK","5","1","HUNGER","6013"
"SQUIRREL","2","1","HUNGER","6012"
"SQUIRREL","2","1","HUNGER","6011"
"HAWK","2","1","HUNGER","6010"
"SQUIRREL","2","1","EATEN","6009"
"SQUIRREL","2","1","HUNGER","6008"
"SQUIRREL","0","1","EATEN","6007"
"HAWK","3","1","HUNGER","6006"
"SQUIRREL","0","1","HUNGER","6005"
"HAWK","8","1","HUNGER","6004"
"SQUIRREL","2","1","HUNGER","6003"
"SQUIRREL","1","1","HUNGER","6002"
"HAWK","4","1","HUNGER","6001"
"HAWK","5","1","HUNGER","6000"
"HAWK","1","1","HUNGER","5999"
"SQUIRREL","2","1","HUNGER","5998"
"HAWK","10","1","AGE","5997"
"SQUIRREL","2","1","HUNGER","5996"
"SQUIRREL","0","1","EATEN","5995"
"HAWK","3","1","HUNGER","5994"
"SQUIRREL","2","1","HUNGER","5993"
"SQUIRREL","2","1","HUNGER","5992"
"SQUIRREL","1","1","HUNGER","5991"
"HAWK","1","1","HUNGER","5990"
"HAWK","0","1","HUNGER","5989"
"HAWK","0","1","HUNGER","5988"
"SQUIRREL","0","1","EATEN","5987"
"SQUIRREL","2","1","EATEN","5986"
"SQUIRREL","0","1","EATEN","5985"
"SQUIRREL","0","1","HUNGER","5984"
"HAWK","10","1","AGE","5983"
"SQUIRREL","2","1","HUNGER","5982"
"HAWK","3","1","HUNGER","5981"
"SQUIRREL","0","1","HUNGER","5980"
"HAWK","6","1","HUNGER","5979"
"SQUIRREL","2","1","EATEN","5978"
"SQUIRREL","1","1","HUNGER","5977"
"SQUIRREL","1","1","HUNGER","5976"
"HAWK","10","1","AGE","5975"
"SQUIRREL","2","1","HUNGER","5974"
"HAWK","8","1","HUNGER","5973"
"SQUIRREL","1","1","EATEN","5972"
"SQUIRREL","2","1","HUNGER","5971"
"SQUIRREL","1","1","EATEN","5970"
"SQUIRREL","0","1","HUNGER","5969"
"SQUIRREL","0","1","EATEN","5968"
"HAWK","1","1","HUNGER","5967"
"SQUIRREL","0","1","EATEN","5966"
"SQUIRREL","0","1","HUNGER","5965"
"SQUIRREL","1","1","HUNGER","5964"
"HAWK","0","1","HUNGER","5963"
"SQUIRREL","2","1","HUNGER","5962"
"HAWK","8","1","HUNGER","5961"
"HAWK","2","1","HUNGER","5960"
"SQUIRREL","2","1","HUNGER","5959"
"SQUIRREL","0","1","EATEN","5958"
"HAWK","7","1","HUNGER","5957"
"SQUIRREL","1","1","EATEN","5956"
"SQUIRREL","2","1","EATEN","5955"
"SQUIRREL","1","1","EATEN","5954"
"SQUIRREL","2","1","HUNGER","5953"
"HAWK","4","1","HUNGER","5952"
"HAWK","2","1","HUNGER","5951"
"SQUIRREL","2","1","HUNGER","5950"
"HAWK","7","1","HUNGER","5949"
"SQUIRREL","1","1","EATEN","5948"
"SQUIRREL","0","1","EATEN","5947"
"HAWK","3","1","HUNGER","5946"
"HAWK","2","1","HUNGER","5945"
"HAWK","3","1","HUNGER","5944"
"HAWK","6","1","HUNGER","5943"
"SQUIRREL","0","1","EATEN","5942"
"SQUIRREL","2","1","AGE","5941"
"SQUIRREL","0","1","EATEN","5940"
"HAWK","8","1","HUNGER","5939"
"HAWK","3","1","HUNGER","5938"
"HAWK","4","1","HUNGER","5937"
"HAWK","7","1","HUNGER","5936"
"SQUIRREL","1","1","HUNGER","5935"
"HAWK","10","1","HUNGER","5934"
"SQUIRREL","2","1","HUNGER","5933"
"HAWK","6","1","HUNGER","5932"
"HAWK","9","1","HUNGER","5931"
"SQUIRREL","2","1","HUNGER","5930"
"SQUIRREL","2","1","HUNGER","5929"
"SQUIRREL","1","1","EATEN","5928"
"SQUIRREL","2","1","HUNGER","5927"
"SQUIRREL","0","1","HUNGER","5926"
"HAWK","1","1","HUNGER","5925"
"SQUIRREL","2","1","EATEN","5924"
"HAWK","6","1","HUNGER","5923"
"SQUIRREL","1","1","EATEN","5922"
"SQUIRREL","2","1","HUNGER","5921"
"SQUIRREL","1","1","HUNGER","5920"
"SQUIRREL","1","1","EATEN","5919"
